,submission_date,state,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death,created_at,consent_cases,consent_deaths,index
28169,11/03/2020,IL,436277,430018.0,6259.0,6516,0.0,10161,9878.0,283.0,68,0.0,11/04/2020 03:03:00 PM,Agree,Agree,
28170,05/28/2021,NE,223304,,,61,0.0,2249,,,0,0.0,05/29/2021 01:33:02 PM,Not agree,Not agree,
28171,06/10/2021,MT,112690,100718.0,11972.0,99,176.0,1638,1638.0,0.0,2,0.0,06/11/2021 02:20:54 PM,Agree,Agree,
28172,06/10/2020,MD,60197,,,732,0.0,2981,2855.0,126.0,33,0.0,06/12/2020 12:00:00 AM,,Agree,
28173,10/17/2020,WI,175227,166186.0,9041.0,0,0.0,1588,1574.0,14.0,0,0.0,10/18/2020 01:26:54 PM,Agree,Agree,
28174,08/20/2020,MO,77679,,,1366,35.0,1686,,,14,0.0,08/22/2020 12:00:00 AM,Not agree,Not agree,
28175,05/21/2021,WI,671909,607992.0,63917.0,464,58.0,7745,6986.0,759.0,11,3.0,05/22/2021 06:59:37 PM,Agree,Agree,
28176,10/14/2020,NV,87405,,,479,0.0,1739,,,17,0.0,10/15/2020 01:30:46 PM,,,
28177,03/06/2021,AL,517973,400836.0,117137.0,361,114.0,10604,8462.0,2142.0,18,4.0,03/08/2021 12:00:00 AM,Agree,Agree,
28178,03/31/2021,GU,7810,,,3,0.0,134,,,0,0.0,04/01/2021 02:13:30 PM,Not agree,Not agree,
28179,01/06/2021,WI,535999,494747.0,41252.0,4109,703.0,5435,5039.0,396.0,69,9.0,01/07/2021 02:56:59 PM,Agree,Agree,
28180,02/14/2021,MS,289749,180832.0,108917.0,730,433.0,6878,4812.0,2066.0,12,4.0,02/16/2021 12:00:00 AM,Agree,Agree,
28181,05/06/2020,CT,30995,30995.0,0.0,374,-1740.0,2718,2718.0,0.0,85,-675.0,05/07/2020 10:59:02 PM,Agree,Agree,
28182,07/25/2021,WA,466235,,,0,0.0,6078,,,0,0.0,07/26/2021 01:52:25 PM,,,
28183,12/03/2020,IN,359439,,,8460,0.0,6940,6656.0,284.0,100,0.0,12/03/2020 12:00:00 AM,Not agree,Agree,
28184,06/22/2021,MD,461887,,,59,0.0,9722,9505.0,217.0,7,0.0,06/23/2021 03:24:06 PM,,Agree,
28185,11/04/2020,NV,104093,,,1068,0.0,1814,,,7,0.0,11/05/2020 02:39:23 PM,,,
28186,10/26/2020,AL,196435,166452.0,29983.0,1840,451.0,4468,3833.0,635.0,18,3.0,10/28/2020 12:00:00 AM,Agree,Agree,
28187,10/24/2020,CA,926844,918175.0,8669.0,4270,133.0,18021,,,40,0.0,10/25/2020 12:00:00 AM,Agree,Not agree,
28188,07/20/2021,ME,69674,50931.0,18743.0,47,8.0,887,839.0,48.0,5,3.0,07/21/2021 02:18:34 PM,Agree,Agree,
28189,01/05/2021,CT,196968,185445.0,11523.0,2332,197.0,6192,5017.0,1175.0,24,4.0,01/06/2021 02:58:26 PM,Agree,Agree,
28190,05/27/2021,WI,673738,609561.0,64177.0,350,78.0,7814,7040.0,774.0,49,12.0,05/28/2021 01:29:21 PM,Agree,Agree,
28191,03/06/2020,WI,1,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree,
28192,11/03/2020,CA,974103,963818.0,10285.0,5152,199.0,18504,,,59,0.0,11/04/2020 12:00:00 AM,Agree,Not agree,
28193,04/09/2020,NH,819,,,31,,21,,,3,,04/08/2020 04:22:39 PM,Not agree,Not agree,
28194,11/27/2020,WI,399526,375837.0,23689.0,1422,122.0,3434,3257.0,177.0,19,2.0,11/28/2020 02:46:47 PM,Agree,Agree,
28195,08/13/2020,IN,77565,,,1043,0.0,3247,3035.0,212.0,15,0.0,08/13/2020 12:00:00 AM,Not agree,Agree,
28196,04/07/2020,NC,3789,3785.0,4.0,399,0.0,63,63.0,0.0,4,0.0,04/07/2020 12:00:00 AM,Agree,Agree,
28197,11/19/2020,ND,70016,70016.0,0.0,1404,0.0,818,,,23,0.0,11/20/2020 03:06:16 PM,Agree,Not agree,
28198,07/06/2020,MT,1249,1249.0,0.0,0,0.0,23,23.0,0.0,0,0.0,07/07/2020 02:58:02 PM,Agree,Agree,
28199,03/28/2021,ND,102639,96380.0,6259.0,56,-1.0,1466,,,0,0.0,03/29/2021 01:48:56 PM,Agree,Not agree,
28200,07/18/2020,AL,81860,76380.0,5480.0,1113,184.0,1786,1648.0,138.0,36,4.0,07/20/2020 12:00:00 AM,Agree,Agree,
28201,04/08/2020,MS,3495,3472.0,23.0,178,1.0,240,239.0,1.0,12,0.0,04/10/2020 12:00:00 AM,Agree,Agree,
28202,10/06/2020,CT,59241,56829.0,2412.0,121,-1.0,4521,3623.0,898.0,4,0.0,10/07/2020 01:45:01 PM,Agree,Agree,
28203,07/04/2021,NE,224823,,,47,0.0,2260,,,0,0.0,07/05/2021 02:30:02 PM,Not agree,Not agree,
28204,06/10/2021,CT,348319,318795.0,29524.0,57,7.0,8260,6790.0,1470.0,3,0.0,06/11/2021 02:20:54 PM,Agree,Agree,
28205,07/01/2021,ME,69069,50519.0,18550.0,15,2.0,860,829.0,31.0,1,0.0,07/02/2021 01:55:07 PM,Agree,Agree,
28206,11/04/2020,MT,35955,35955.0,0.0,796,0.0,404,404.0,0.0,5,0.0,11/05/2020 02:39:23 PM,Agree,Agree,
28207,06/21/2021,NE,224103,,,39,0.0,2257,,,-2,0.0,06/21/2021 12:00:00 AM,Not agree,Not agree,
28208,01/30/2020,VI,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,,,
28209,08/04/2020,DE,15670,14724.0,946.0,63,0.0,587,517.0,70.0,2,0.0,08/06/2020 12:00:00 AM,Agree,Agree,
28210,09/12/2020,GU,1863,,,0,0.0,23,,,0,0.0,09/13/2020 04:17:15 PM,Not agree,Not agree,
28211,05/14/2021,WI,668805,605376.0,63429.0,597,84.0,7707,6954.0,753.0,1,0.0,05/15/2021 01:54:58 PM,Agree,Agree,
28212,03/22/2020,MI,8411,8242.0,169.0,846,16.0,38,33.0,5.0,12,0.0,03/23/2020 12:00:00 AM,Agree,Agree,
28213,07/07/2020,NC,83433,83238.0,195.0,2544,27.0,1558,1558.0,0.0,19,0.0,07/07/2020 12:00:00 AM,Agree,Agree,
28214,07/09/2020,MI,136460,123870.0,12590.0,1506,184.0,6386,6078.0,308.0,8,0.0,07/10/2020 12:00:00 AM,Agree,Agree,
28215,05/25/2020,VI,69,,,0,0.0,6,,,0,0.0,05/26/2020 02:23:02 PM,,,
28216,03/23/2020,VI,17,,,0,,0,,,0,,03/26/2020 04:22:39 PM,,,
28217,09/24/2020,NE,42731,,,453,0.0,462,,,0,0.0,09/26/2020 12:00:00 AM,Not agree,Not agree,
28218,09/21/2020,GU,2147,,,73,0.0,35,,,4,0.0,09/22/2020 01:51:57 PM,Not agree,Not agree,
28219,09/26/2020,MT,11907,11907.0,0.0,2,0.0,171,171.0,0.0,3,0.0,09/27/2020 01:39:49 PM,Agree,Agree,
